"game_date","game_time_start","away_team","away_points","home_team","home_points","season","game_code","home_rpm","away_rpm"
"2013-11-13","8:30p","Washington Wizards",79,"San Antonio Spurs",92,2014,"201311130SAS",2.19392291666667,0.322122222222222
"2013-11-13","9:00p","New Orleans Pelicans",105,"Utah Jazz",111,2014,"201311130UTA",-1.83899513888889,-0.345833333333333
"2013-11-14","10:30p","Oklahoma City Thunder",115,"Golden State Warriors",116,2014,"201311140GSW",2.48544027777778,3.01003402777778
"2013-11-14","8:00p","Houston Rockets",109,"New York Knicks",106,2014,"201311140NYK",0.393646527777778,1.42571180555556
"2013-11-15","7:30p","Philadelphia 76ers",103,"Atlanta Hawks",113,2014,"201311150ATL",0.426105555555556,-2.01903680555556
"2013-11-15","7:30p","Portland Trail Blazers",109,"Boston Celtics",96,2014,"201311150BOS",-1.04053680555556,0.716839583333333
"2013-11-15","7:30p","Charlotte Bobcats",86,"Cleveland Cavaliers",80,2014,"201311150CLE",-0.878493055555556,-1.19261597222222
"2013-11-15","8:00p","Minnesota Timberwolves",113,"Denver Nuggets",117,2014,"201311150DEN",-0.314423611111111,1.45237083333333
"2013-11-15","7:00p","Milwaukee Bucks",77,"Indiana Pacers",104,2014,"201311150IND",0.705317361111111,-2.40858055555556
"2013-11-15","10:30p","Memphis Grizzlies",89,"Los Angeles Lakers",86,2014,"201311150LAL",-1.23173263888889,1.38048263888889
"2013-11-15","7:30p","Dallas Mavericks",104,"Miami Heat",110,2014,"201311150MIA",1.70092222222222,1.0847875
"2013-11-15","9:00p","Brooklyn Nets",100,"Phoenix Suns",98,2014,"201311150PHO",1.18368742138365,1.16125220125786
"2013-11-15","10:30p","Detroit Pistons",97,"Sacramento Kings",90,2014,"201311150SAC",-0.420801388888889,-0.675239583333333
"2013-11-15","7:00p","Chicago Bulls",96,"Toronto Raptors",80,2014,"201311150TOR",0.326130555555556,1.19929930555556
"2013-11-15","9:00p","San Antonio Spurs",91,"Utah Jazz",82,2014,"201311150UTA",-1.73174583333333,3.16369583333333
"2013-11-16","7:00p","Miami Heat",97,"Charlotte Bobcats",81,2014,"201311160CHA",-0.780901388888889,0.779222222222222
"2013-11-16","8:00p","Indiana Pacers",94,"Chicago Bulls",110,2014,"201311160CHI",1.54284218554985,1.01644444444444
"2013-11-16","10:30p","Utah Jazz",88,"Golden State Warriors",102,2014,"201311160GSW",2.12630277777778,-1.76478541666667
"2013-11-16","8:00p","Denver Nuggets",111,"Houston Rockets",122,2014,"201311160HOU",1.18852222222222,-0.288197916666667
"2013-11-16","10:30p","Brooklyn Nets",103,"Los Angeles Clippers",110,2014,"201311160LAC",2.171475,-0.747575
"2013-11-16","8:30p","Oklahoma City Thunder",92,"Milwaukee Bucks",79,2014,"201311160MIL",-1.81097430555556,2.38419513888889
"2013-11-16","8:00p","Boston Celtics",88,"Minnesota Timberwolves",106,2014,"201311160MIN",1.22618611111111,-1.51762222222222
"2013-11-16","8:00p","Philadelphia 76ers",98,"New Orleans Pelicans",135,2014,"201311160NOP",-0.404197916666667,-1.92411527777778
"2013-11-16","7:30p","Atlanta Hawks",110,"New York Knicks",90,2014,"201311160NYK",0.21931875,0.38731875
"2013-11-16","7:00p","Dallas Mavericks",108,"Orlando Magic",100,2014,"201311160ORL",-2.05751458333333,0.87179375
"2013-11-16","7:00p","Cleveland Cavaliers",103,"Washington Wizards",96,2014,"201311160WAS",0.399141509433962,-0.516574213836478
"2013-11-17","9:30p","Detroit Pistons",99,"Los Angeles Lakers",114,2014,"201311170LAL",-1.44607847222222,-0.473396527777778
"2013-11-17","6:00p","Memphis Grizzlies",97,"Sacramento Kings",86,2014,"201311170SAC",-0.723838194444444,1.44089097222222
"2013-11-17","1:00p","Portland Trail Blazers",118,"Toronto Raptors",110,2014,"201311170TOR",0.884122012578616,0.763818238993711
"2013-11-18","7:30p","Portland Trail Blazers",108,"Brooklyn Nets",98,2014,"201311180BRK",0.377538888888889,0.701415972222222
"2013-11-18","8:00p","Charlotte Bobcats",81,"Chicago Bulls",86,2014,"201311180CHI",1.53289305555556,-1.35934513888889
"2013-11-18","8:30p","Philadelphia 76ers",94,"Dallas Mavericks",97,2014,"201311180DAL",0.952100694444445,-2.11112291666667
"2013-11-18","10:30p","Memphis Grizzlies",106,"Los Angeles Clippers",102,2014,"201311180LAC",2.06734652777778,1.06943125
"2013-11-18","8:00p","Denver Nuggets",113,"Oklahoma City Thunder",115,2014,"201311180OKC",2.78262986111111,-0.520138888888889
"2013-11-18","9:00p","Golden State Warriors",98,"Utah Jazz",87,2014,"201311180UTA",-1.70607083333333,2.13872986111111
"2013-11-19","7:30p","New York Knicks",86,"Detroit Pistons",92,2014,"201311190DET",-0.435872916666667,0.0124319444444444
"2013-11-19","8:00p","Boston Celtics",85,"Houston Rockets",109,2014,"201311190HOU",0.907759027777778,-1.25577916666667
"2013-11-19","7:30p","Atlanta Hawks",88,"Miami Heat",104,2014,"201311190MIA",0.834121527777778,-0.507586111111111
"2013-11-19","10:00p","Phoenix Suns",104,"Sacramento Kings",107,2014,"201311190SAC",-0.608795138888889,-0.0803506944444446
"2013-11-19","7:00p","Minnesota Timberwolves",100,"Washington Wizards",104,2014,"201311190WAS",0.356028472222222,1.22877916666667
"2013-11-20","7:30p","Detroit Pistons",85,"Atlanta Hawks",93,2014,"201311200ATL",0.645280555555556,-0.575653472222222
"2013-11-20","7:00p","Brooklyn Nets",91,"Charlotte Bobcats",95,2014,"201311200CHA",-1.07042847222222,0.458354861111111
"2013-11-20","7:00p","Washington Wizards",98,"Cleveland Cavaliers",91,2014,"201311200CLE",-0.340371527777778,0.456716666666667
"2013-11-20","9:30p","Houston Rockets",120,"Dallas Mavericks",123,2014,"201311200DAL",0.980630555555556,1.87320902777778
"2013-11-20","10:30p","Memphis Grizzlies",88,"Golden State Warriors",81,2014,"201311200GSW",1.35578427672956,1.05108364779874
"2013-11-20","8:00p","Portland Trail Blazers",91,"Milwaukee Bucks",82,2014,"201311200MIL",-2.59151180555556,0.834977083333333
"2013-11-20","8:00p","Los Angeles Clippers",102,"Minnesota Timberwolves",98,2014,"201311200MIN",1.56159097222222,2.02624375
"2013-11-20","8:00p","Utah Jazz",98,"New Orleans Pelicans",105,2014,"201311200NOP",-0.281698611111111,-2.02348472222222
"2013-11-20","7:00p","Indiana Pacers",103,"New York Knicks",96,2014,"201311200NYK",0.273186163522013,1.57292955974843
